,text,label,explanation
1172,I don't want to work.,1,"The person is showing clear signs of depression, such as laziness"
1173,"These people get angry if they can't do it, if the work is not done yet, then they get angry at once.",1,"The person is showing clear signs of depression, such as anger issues"
1174,"These are the same people who are in our house, our man starts getting angry, your work is not done yet, I do not like dirt, I like cleanliness, these people say that she mops, she does it, so I I get angry, I don't like it until I clean it.",2,w/f
1175,"We do not come here for work, we do not come for a long time, sometimes we come, like the day the work gets completed quickly, that day comes.",0,i
1176,"Cooks food, comes after doing all the work.",0,i
1177,"Otherwise, stay at home.",0,i
1178,We get up at 6 o'clock.,0,i
1179,Can't even sleep at night.,1,"The person is showing clear signs of depression, such as trouble with sleep"
1180,"I did it, I said that my mother's hobby was to sew, my daughter should do some embroidery, so I said that let's do it better than wasting years, then I participated in it, did everything, stitch embroidery Top came in that.",0,i
1181,"After that again a desire arose in me that I should also take some knowledge of beautician, then I did not mean much interest to him but to know a little bit I joined that too, did that too.",0,i
1182,"Hanji, after that, when it came to my marriage, the boy was watching, the parents did not want to do it in Haryana because today Papa's job
It will mean complete, then we have to go to Bihar only, then my daughter will stay here, we will go to Bihar, then what did they do that I got married in Bihar, I have done it with my wish, I had no problem that my marriage anywhere Yes, I had said, father, if even a single light is on, I am happy with it, I will adjust wherever you do it.",0,i
1183,"Hanji, I didn't mean that I used to mean that as many have an affair, I didn't have anything like that, I used to mean on my own, yes.",0,i
1184,"The crash was happening, of tuition.",0,i
1185,"The reason for the suicide is that first that girl was with him, then that girl was nothing after that, after that the girl went to her Noida, Voida.",2,w/f
1186,"Emotionally attached, he would have found her later on Facebook, then he met each other, so he used to talk, then we had no problem with anything, he used to talk to us, we talked a lot about him. I knew that the relative used to do it even in front of them, so we did not have any problem with that too.",2,w/f
1187,"He was doing BBA, and taking MBA coaching.",0,i
1188,And Germany was learning too.,0,i
1189,I didn't see the same thing.,0,i
1190,"Means the effect is that I was there, my son was sad.",1,"The person is showing clear signs of depression, such as sadness"
1191,"I could not live, I got a lot of this thing.",1,"The person is showing clear signs of depression, such as overwhelming emotions"
1192,"Yes, I used to be an idiot earlier as well. I used to speak upside down, nowadays I do not speak, I remain silent, I am afraid that no one should speak upside down.",0,i
1193,Bad behavior does not mean that I used to be left alone many times when I made a group.,0,i
1194,"Yes, I didn't struggle as much in my studies, just people used to have trouble adjusting.",0,i
1195,"Yes, I have 3 kids, 2 boys, 1 girl.",0,i
1196,"There is nervousness, the body remains as if it were broken.",1,"The person is showing clear signs of depression, such as nervousness"
1197,Like Kama-Vam doesn't feel like doing anything.,1,"The person is showing clear signs of depression, such as loss of interest"
1198,"Earlier it used to work a lot, but now it doesn't work.",0,i
1199,Hanji ever since his father died.,2,w/f
1200,"Think, stay in the veil, walk slowly, speak slowly, don't sit here, this is east-west, sit facing here, north-south, now what do I know, I have come from Haryana, what about Bihar? Know which is north and which is south.",0,i
1201,"Grandmother-in-law, grandmother-in-law used to do a lot, sister-in-law used to go and tell all the things that are being created in the house, inside me I was pure in my heart, I used to speak openly, now He used to have a problem, he used to go and tell Grandma, Grandma used to come and climb on me, now all those things started roaming inside me.",2,w/f
1202,"Like I am telling you now, I will not be able to tell anything if I take more stress, I will start crying.",1,"The person is showing clear signs of depression, such as stress and crying spells"
1203,"Like samosa came is ok, it is real thing, samosa came, then grandmother brought, grandmother gave in my hand that you both have 4 samosas, eat both of you, I like samosa very much, so that samosa I said let's go Yes, I make vegetables, she was making roti, what I did, I opened the samosa, there were 3 samosas in it, there were 3 samosas, I said that the grandmother did not even know to count, 4 samosas is saying only 3, then I ate one and a half samosas For this, one and a half samosas were fed to the sister-in-law, after that after 2 days",2,w/f
1204,"Sir, I am a resident of Pitorgarh, I am born in Delhi in the village of Pitorgarh and I am born in Rajendra Nagar only.",0,i
1205,"Ours was 2 blocks, in front of the electricity house.",0,i
1206,"He lives in the house with his maternal grandparents, I drank only the milk of maternal grandparents.",0,i
1207,And Nana - Nani when my guidance is my Nani ji.,0,i
1208,"He works in Delhi government, he is a small brother.",0,i
1209,"My brother who worked in Delhi government, he has two children, one son, one daughter, daughter is just married, son is younger on 7th December.",0,i
1210,"He lives at home, he is a UDC retiree.",0,i
1211,"Yes, I get pension.",0,i
1212,In it there are papa-mummy and we are three sisters.,0,i
1213,The job she works is a staff nurse.,0,i
1214,"The third one is also in government job, he is a teacher in MTC school.",0,i
1215,"Yes, I used to work hard. Yes it was fine.",0,i
1216,"Mere ko sir means as if I was afraid from the beginning as I was more college distance from my home and as I was in the best in school and always coming first and always going there, the atmosphere was completely changed in me, that means I know I didn't even think so.",0,i
1217,"Yes, I didn't struggle as much in my studies, just people used to have trouble adjusting.",2,w/f
1218,"They were strict, cittic, yes that means they like it, maybe no one likes it, whatever it is, I used to have that problem too.",2,i
1219,"In mobile also, I was doing research in the final of MSc, I had taken the meaning.",0,i
1220,"I didn't even speak and then my father didn't even mean it, then there was no mobile.",0,i
1221,"No, mom was not strict either.",0,i
1222,"Meaning, why did not my mother like my mother, at that time I used to insist a lot like this, it seemed that I used to argue too.",0,i
1223,No - no pressing too hard.,0,i
1224,no i mean too much facility,0,i
1225,"There is a fear that no one should be wrongly challaned, just like the call will come in the night, of the word Singh, does negative thing come first.",0,i
1226,"Yes, negative whose correct time has been taken, what if the phone rang after sleeping.",0,i
1227,"If yes, then he eats his medicine.",0,i
1228,"No, at first a little bit of dink was taken at the party - in my body, it happened after that no marriage ever tied up in the party.",0,i
1229,"No - no, I will leave the job.",0,i
1230,"We have in-laws in Jhansi, maternal uncle in Bhimgarh.",0,i
1231,There are residents.,0,i
1232,In our family?,0,i
1233,A big one is over.,0,i
1234,"So one is finished, big is small.",0,i
1235,Married a girl.,0,i
1236,"There is a sister-in-law, there are 4, there are 3 brothers-in-law, we are the eldest.",0,i
1237,"But now they do not live, but all our brothers and sisters all live.",0,i
1238,"Live here mostly, in Jhansi",0,i
1239,I thought that it might be happening because of the medicine.,2,c
1240,"No, I jumped.",2,c
1241,"I had stopped the train again, I had fallen in its gap, so I was saved, I had a head injury, had come a little on the neck.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
1242,"When my family members had also come, they had also come, all had come again.",0,i
1243,"In no, dot-bot means everything, dot-bot means nothing, why did someone do all this.",0,i
1244,"Yes, he must have called, meaning I do not know at this time I was ill at the time.",0,i
1245,"Then all the things - Ghere, my job got permanent and I was not getting the same job, which means that I don't think too much about it.",0,i
1246,"So the girl who was upset, then she started talking to it more, so it must have been attached to her, then after that she started talking to her that mother like this, I said it's okay, so We had just said that brother should be a little fine like this",2,w/f
1247,"It may not be that the family is exactly the same, you understand what to say, don't you?",0,i
1248,"Religion should not be different, small.",0,i
1249,Yes.,0,i
1250,"Was very smart, was 6 feet 4 inches high, was very smart, and guess what, when we came to this society, we were told by many people that they were saying that the people who came in number 23, their The child is very smart.",0,i
1251,"So where have 2 people even heard about your children, your son is also very smart, so if you introduce us, then where will I introduce yes, there is no problem in that.",0,i
1252,"Papa was enough, but he was much more than me.",0,i
1253,"I used to get angry, so he used to say that you do not get angry with me.",1,"The person is showing clear signs of depression, such as anger issues"
1254,"She had a lattice gate, had a latch on it, and might have hit it lightly or she might have been doing this, I kept calling for a long time because she was not leaving her, from the end of the month, 26 January.",0,i
1255,"Yes, he was there, he was alone, he had gone, the license was not his, once he does what he does, neither in the matter of speed, etc. or anything, that bike is what we are, what bullets speak. , so his voice is very loud, is not his challan was cut in his affair, then they took his license, the policemen, so he had to go to get that license, then they started saying that there is a leave of two days , you took your license, he started saying ok, gave him money, then so much money then his call came, that mother is asking for more money, it has been many days, it was not gone, asking for more money, so I Said ok you come to school and take it from here, I was in school, my school is nearby, so I was in school, so he came to me, so I collected money from here and there and gave Gave it.",2,w/f
1256,"No, I was the one who came in.",0,i
1257,"Why do you want to take medicine, mental medicine, everything is going well?",2,c
1258,"The head remains heavy and heavy, why do you feel dizzy?",2,c
1259,"Yes, there is anxiety, there is restlessness",1,"The person is showing clear signs of depression, such as anxiety, restlesness"
1260,Sometimes a debate takes place in 6 months of the year.,0,i
1261,"The mind remains as it is sad as if I should not talk to anyone, it seems that I am sitting at home.",1,"The person is showing clear signs of depression, such as sadness"
1262,"I get angry only at the children, I abuse them many times.",1,"The person is showing clear signs of depression, such as anger issues"
1263,"I don't kill, don't raise my hand.",0,i
1264,"Just like that, I just cry out loud.",1,"The person is showing clear signs of depression, such as crying spells"
1265,"If you cry, it is not that I try to harm myself.",1,"The person is showing clear signs of depression, such as crying spells"
1266,"Yes, and if you are not drinking then do not drink for 15 days.",0,i
1267,It was just like that.,0,i
1268,"He used to take out the plastic item which is a badge on the rakhi, and it is a gun.",0,i
1269,"It was just like that, they were nasty.",0,i
1270,My mother-in-law had also gone through the attack.,0,i
1271,The father also went through the attack.,0,i
1272,"Yes, I saw it like this, the mother-in-law had come only once, in front of us, it was over.",0,i
1273,"The vein in his brain was torn, that of the mother-in-law.",0,i
1274,"Yes, he took medicine from a small doctor's dispensary from such a fat doctor.",0,i
1275,"Everything in the food, whatever is found, vegetables, green vegetables, etc. pulses.",0,i
1276,I like green vegetables more.,0,i
1277,I eat sometimes not much.,0,i
1278,They have taken the name of Guru ji because of that.,0,i
1279,"There is sadness throughout the day again, is tired - tired?",1,"The person is showing clear signs of depression, such as sadness"
1280,I have had problem of IBS since 4 - 5 years.,0,i
1281,Since then it seems to me 4 years.,0,i
1282,"Dr. Beniwal, who was memorialized to his wife, is undergoing treatment, he has a problem, he is unable to get treatment, then he is more troubled and once there is disturbance, he cannot sleep.",1,"The person is showing clear signs of depression, such as trouble with sleep"
1283,"Wife's illness, job is also typical.",0,i
1284,"If the speed limit is so low and the camera driving is coming so much, then it gets scared.",0,i
1285,"The talk of my marriage started going on, then I started having depression again.",2,h
1286,"No - no, not theirs, just like whoever used to come, they used to be stressed at home, that means a little to me, then like when I do a job, like whenever a boy used to do a job, if a boy talks to me, then I mean scared. It used to seem that when someone's phone comes, as if there is a street there, then I used to be afraid of my father, although I wanted it.",2,c
1287,"No, not because of that, I didn't see it many times.",0,i
1288,"No - no I didn't have anything like that, I also got rejected.",0,i
1289,"Means the effect is that I was there, my son was sad.",1,"The person is showing clear signs of depression, such as sadness"
1290,"I could not live, I got a lot of this thing.",1,"The person is showing clear signs of depression, such as overwhelming emotions"
1291,"It was his birthday on 15th January, it means that we did not have a problem with that girl before, we were married for the same thing, in our house, we used to talk openly and very well, Everything was fine, no problem whatsoever.",2,w/f
1292,"No, not at all, very good.",0,i
1293,"Everyone knows, you will ask even after going to the hospital, everyone knows, there is no one so frank in us here.",0,i
1294,"The reason means, that girl refused, didn't she?",2,w/f
1295,"Yes, he stayed with her, then after that there was a quarrel with each other, that girl was earlier with some other boy, her boy has this in her, is it not MAMC then Maulana Azad in that boy's BDS etc. So that boy left that girl, then that girl who was upset, then she started talking to it more, so it must have been attached to her, then after that she started talking to her that mother is like this , I said okay nothing.",0,i
1296,"Later, ever since his parents passed away.",2,w/f
1297,"Didn't kill him, he used to kill sometimes, but that's it.",2,w/f
1298,Loved the girl the most.,0,i
1299,"Like when I hear a good thing, whenever I get nervous.",1,"The person is showing clear signs of depression, such as nervousness"
1300,"No, there is panic, hands and feet start trembling.",1,"The person is showing clear signs of depression, such as panic"
1301,He doesn't like to go in the crowd.,1,"The person is showing clear signs of depression, such as social anxiety"
1302,"No, I don't go on the roof.",0,i
1303,"Children also start playing, then it feels good when they play, even then no one is there, then as I live alone and when I go on duty, I remain sad there too.",0,i
1304,I live alone at home like that.,0,i
1305,"No, I do not like solitude at all, earlier I used to come there, did not sleep like I did not sleep today, then I feel irritable and my daughter will also come and tell me something to me, I cannot even read, I feel irritable, that too regularly It is not happening for the last 15 days due to the illness of the wife, it seems that if the program means that the wife will not sleep before going somewhere, going somewhere far away, all that fun becomes gritty. Mind.",2,w/f
1306,"After that, those who are going with family or going with their friend are not able to enjoy.",0,i
1307,One had a gall bladder removed.,0,i
1308,Then I had another operation.,0,i
1309,I do both to boys.,0,i
1310,I'm closer than that.,0,i
1311,"But he was not a man of happiness, nor was he a man.",2,c
1312,"Later, ever since his parents passed away.",2,w/f
1313,"He opened the gate, it was very strong, so I got sick at night, until nothing, at night.",2,w/f
1314,"He is about to come, now his birthday will not come on the 28th.",0,i
1315,April comes in the last month.,0,i
1316,Looks good now.,0,i
1317,"Daughter will get married, they think that they start living at their parents' house, they only think, because there is a fight in the house, we do not like it.",2,w/f
1318,"I also had a college there, Bhavdani College and then I did a job there.",0,i
1319,"20,000 was a thousand apop because of mine.",0,i
1320,"Yes, then but it means well.",0,i
1321,"No, I had hated my studies, I don't mean that, I don't have to do anything.",0,i
1322,"I had cleared the paper, I got a direct appointment for SSC after that",0,i
1323,"Yes, so it seems to me that while studying, I felt that I gave a little bit of everything in that college.",0,i
1324,"No, no, I was fine, college was going well, then as soon as the talk of my marriage started going on, then I started having depression again.",2,h
1325,It is caused by drinking less water frequently.,0,i
1326,Something doesn't look good.,0,i
1327,"I do it, I do it too",0,i
1328,"I told the tenant when he gave it to sell, he was paying 44 thousand rent, now he is also going, he looks bad now.",0,i
1329,"No, there was no such thing.",0,i
1330,"Ever since the mother-in-law died, it was more than that.",0,i
1331,"Yes, there were not so many in front of him, then after that his father started drinking too much.",0,i
1332,No one paid such attention.,0,i
1333,"Yes, children used to go to school and I used to send them to school early in the morning.",0,i
1334,Looking forward to the second year.,0,i
1335,Something just doesn't feel right.,1,"The person is showing clear signs of depression, such as loss of interest"
1336,Nothing feels good.,1,"The person is showing clear signs of depression, such as loss of interest"
1337,My husband is an HR manager.,0,i
1338,"Hanji is the HR manager, we are there again my husband, when I got married, he left only after 4-5 days.",0,i
1339,"He lives in Delhi, I was in Bihar.",0,i
1340,"Hanji, my grandmother was mother-in-law, my father-in-law was my father-in-law and my sister-in-law was my brother-in-law.",0,i
1341,"No, my mother-in-law had died before marriage.",0,i
1342,"Hanji, that too he had attempted suicide.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
1343,"Sir, the way I feel by staying in that house, that which I had a problem was not, Ithing they also had the same problem.",2,w/f
1344,"Yes, I have two children, one who is outside, one boy and one girl.",0,i
1345,Hanji ever since his father died.,2,w/f
1346,I have been sad since the beginning.,1,"The person is showing clear signs of depression, such as sadness"
1347,"Similarly, since I got married, then I am not right.",2,w/f
1348,"Yes, he had started drinking alcohol.",0,i
1349,"No, they did not fight, but they used to fight most of all.",0,i
1350,"Sometimes they are drinking for 15 days, then they are drinking continuously for 15 days night and day.",0,i
1351,"Yes, and if you are not drinking then do not drink for 15 days.",0,i
1352,It was just like that,0,i
1353,"After that, like those who are going with family or going with their friends, they are not able to enjoy, then there was an excitement that I had to come today, then my wife was sleeping downstairs, yet I could not sleep for a while. Thought it was to wake me up again in the morning, so I slept for two hours.",0,i
1354,"No, it doesn't seem like anything right now, it still seems like this in future too.",0,i
1355,"Like staying in Delhi for many years, then first mother's knee, then father's operation, then wife's illness.",0,i
1356,"No, the mother-in-law also raises the hand, but she also does the work of the press.",0,i
1357,"I feel that I get up at one and a half to 2 o'clock in the night, along with the children also keep sleeping, I feel like I should kill them.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
1358,I don't know why I get angry from inside.,1,"The person is showing clear signs of depression, such as anger issues"
1359,There is a strange feeling as if I kill them then I make you cry.,1,"The person is showing clear signs of depression, such as anger issues"
1360,"Fear means everything feels right here, I go on the roof to dry clothes, so it feels like jumping off the roof.",1,"The person is showing clear signs of depression, such as suicidal thoughts"
1361,"Feels sad, does not feel like talking to anyone.",1,"The person is showing clear signs of depression, such as sadness, isolation"
1362,"Yes, some money has to come, if they come, then the deal is done, then the money will come, then I will be saved, otherwise it is difficult.",0,i
1363,"That is it, there was restlessness in sleep for one and a half, two months.",1,"The person is showing clear signs of depression, such as restlessness"
1364,"Come, I took a bath last night too, I took a bath out of fear that I am not keeping well, so I took a bath yesterday.",0,"The person is showing clear signs of depression, such as"
1365,"The mind remains like this, it just wants to keep sleeping.",1,"The person is showing clear signs of depression, such as trouble with sleep"
1366,"Wants to sleep, doesn't feel like working.",1,"The person is showing clear signs of depression, such as trouble with sleep, laziness"
1367,"Papa works in this, in RML.",0,i
1368,"Hey I'm in tension, nothing feels right.",0,i
1369,Fights happen at home.,2,w/f
1370,"Fighting in the house, people talk loudly, I get angry right away, I get scared.",2,w/f
1371,"We are scared, no one says bad or afraid, if someone says something, we are afraid of him.",2,w/f
1372,"We are elder, we have one sister, younger one, one brother.",0,i
1373,They all got married.,0,i
1374,"Yes, the school has studied till 5th standard.",0,i
1375,"Yes, it does come.",0,i
1376,"For example, when you have done something like this in your previous life, you are being punished for this.",0,i
1377,I don't know about the weight.,0,i
1378,Yes.,0,i
1379,"Medicine was going on from Lady Hardinge. My 13, 14-15 years went by Lady Hardinge.",0,i
1380,"Yes, I have had 3 operations.",0,i
1381,One had a gall bladder removed.,0,i
1382,Then I had another operation,0,i
1383,"No, I was given a lot of facilities, like papa used to be skimpy in himself, but we were allowed to eat something like it was good, just here on his behalf, don't talk too much with the boy that you come straight.",0,i
1384,No it is not but I think this.,0,i
1385,"No, but I do not trust me as if I meant senior, she used to go with her boyfriend too, nor if I used to go with him too, then I used to get nervous from inside.",0,i
1386,No - no I haven't made anything like this.,0,i
1387,I had cleared NET for M.Sc. I had a college there too. There was a college and then I did a job there.,0,i
1388,"20,000 was a thousand apop because of mine.",0,i
1389,To raise the event of election etc.,0,i
1390,One is twenty years old and one is thirteen year old daughter.,0,i
1391,"No, four years had ended and one year old son was over.",0,i
1392,In my head also I work as tiffin service before lockdown.,0,i
1393,Mother-in-law is father-in-law's death in February too.,0,i
1394,"No, the mother-in-law also raises the hand, but she also does the work of the press.",0,i
1395,"I don't kill, don't raise my hand.",0,i
1396,"Just like that, I just cry out loud.",1,"The person is showing clear signs of depression, such as crying spells"
1397,"If you cry, it is not that I try to harm myself.",1,"The person is showing clear signs of depression, such as crying spells"
1398,More on small things.,2,c
1399,"As if I would cry when I hear someone else's sorrow, as if the child did some mischief, then weep.",1,"The person is showing clear signs of depression, such as crying spells"
1400,No father-in-law but he expired.,0,i
1401,"No, no one is in the house.",0,i
1402,It's been at least 5-6 months.,0,i
1403,"In the beginning, it used to mean like this, even if someone used to do some work, then darkness used to come in front of the eyes, there was a pan in the head towards the back.",1,"The person is showing clear signs of depression, such as headache"
1404,"Fights do not like fights, one who fights, gets angry, like our brother-in-law, so he does all this to us, then look, he keeps fighting always, he never gets along with me, as long as there were children, it was fine were, then after a few days they are formed, they fight a lot, that's why we don't like it.",2,w/f
1405,We don't feel like working with them at all.,0,i
1406,We work too.,0,i
1407,"Half with these people, used to do it before, don't feel like working now, they used to do tile and stone work.",0,i
1408,"We have not gone to this Delhi and our parents, our maternal uncle's house, anywhere else.",0,i
1409,Went there once.,0,i
1410,"That work is more, they get slavery done.",2,w/f
1411,"Yes, neither do we get leave on time, nor do we feed some other money, they get leave, we do not even get leave.",2,w/f
1412,"Yashi is my sister, she makes it.",0,i
1413,"I make it even if I have a holiday, I make it for her, she makes it.",0,i
1414,"No, she works in clothes. There is going to be sifting in it.",0,i
1415,Sister has taken me and told me she is a girl.,0,i
1416,Hosie Sister is married.,0,i
1417,Sir I lived here in Haryana.,0,i
1418,Like my father's job was in sugar meal factory.,0,i
1419,"So there we used to live there, mummy papa main bhaiya babu we are three siblings.",0,i
1420,"No, we are natives of Bihar, just like we parents belong to Bihar, whatever birth-karma we have done, whatever has happened since our birth to education, has happened in Haryana only.",0,i
1421,"Yes, so here we used to live, and that meant to the parents that we would not separate our daughter from us.",0,i
1422,"No, it means there is an elder brother, after that I am the second number.",0,i
1423,"I am a graduate, after that I was going to do B.Ed, so it happened that we were building our house in Bihar, then we went there, so I could not get B.Ed because of this, then I came there. When I joined ITI, I said that my mother's hobby was to sew, my daughter should do some embroidery, so I said that it is better to do this than to waste years.",0,i
1424,They have taken the name of Guru ji because of that.,0,i
1425,"No - no, sometimes they do drink after coming home and after eating food they go to sleep.",0,i
1426,He rarely drinks in a day or a week.,0,i
1427,"No, the son has left his studies, now after 12th from open to NIOC.",0,i
1428,He had no mind in his studies.,0,i
1429,"Nothing used to go anywhere else on the pretext of school, the loafer was too much in the row.",0,i
1430,He will be 21 years old now in May.,0,i
1431,Here the worry remains that what will be his future.,0,i
1432,What will be his future next?,0,i
1433,Yes and I work in payment etc.,0,i
1434,"She lives with a younger brother, she lives in Rajendra Nagar, in block 13.",0,i
1435,"Yes, I am in Sarvansh school.",0,i
1436,"The daughter is older, there is a difference of 1 year.",0,i
1437,That's how the problem is finally going on.,0,i
1438,"Mother is father, we are five brothers and sisters, one wife",0,i
1439,And I have two daughters.,0,i
1440,"So you are working in Delhi Police, why did you feel that you had to go to the same hospital for treatment, what was the problem, physically or mentally?",0,i
1441,"Sleep does not come, means sleep as it used to come before and once sleep is disturbed it does not come again.",0,i
1442,"Disturbed once, then after.",0,i
1443,"Doesn't come after that, again in the day there is sadness like this, tired - tired?",1,"The person is showing clear signs of depression, such as sadness"
1444,"Yes, I have told my daughter and I have told my son too.",0,i
1445,"Son said, I will come, then where will I do what you will, by coming here, some problem will be solved a little.",0,i
1446,"No, they do government jobs, where will they give them, now the one who is younger than me, his daughter is not even married yet, that government job person cannot have anything like this.",0,i
1447,"Income is low, salary is low.",0,i
1448,"No, they are low family people.",0,i
1449,"There is a normal family, they do not even have parents.",0,i
1450,"I do everything in the morning, half past morning, I get up at 6 o'clock, quarter to 5, quarter to 6, sometimes I feel like I wake up early and meditate first, and in the morning I get up, want to make all the food, make husband's breakfast, make our own, then we bought Dougie for the daughter, the daughter was upset, then the husband said that now I have to take it, I had refused.",0,i
1451,"I do all of her, she is mad after me.",2,w/f
1452,"When I go to school, my daughter is not in the house, now we are leaving her behind a little bit, as if she has gone to the market etc., then left for an hour or two, then she does a lot.",0,i
1453,"If he is worried, then we have also hired a trainer for him, now the trainer has come, from tomorrow he will teach him, no he will because I do not feel like leaving him, that I should leave him alone.",0,i
1454,"I her, yes of course, while I was not in this that I should doggy, because everyone used to say that does messy, hair fall this is that, a lot.",0,i
1455,"Yes, I wanted to take a bath last night.",0,i
1456,"It is cold in the morning, a lot Dr. Sahab is not taking bath because of the cold.",0,i
1457,There I keep thinking that it keeps going there.,0,i
1458,it goes on there good is bad whatever it is,0,i
1459,"No - I don't go, letriging happens just like passing urine, it happens by drinking less water frequently.",0,i
1460,"No, I was the one who came in.",0,i
1461,"Yes, then I have become exactly that, think what would have happened to you.",0,i
1462,"Son, I am holding him again and again, which means I am not even aware of what the stool is, I should put it on it.",0,i
1463,"Yes, I felt like a lot of things kept going on in my mind that",1,"The person is showing clear signs of depression, such as overthinking"
1464,"That it is not like that what did she know that there was breath in it, it means that in my mind these things are too much",2,c
1465,what can i say now,0,i
1466,"I have called, they are going to the same nearby our relations, then they came, they dropped them, then when they took them away, but I felt that maybe they",0,i
1467,"The police case came, the policemen came, the policemen started saying there is no use, because that girl had 50 phones, at that time she probably had a fight with that girl, that girl went with some other boy.",0,i
1468,"Earlier I had cervical, headache, pain etc. I used to stay very much.",1,"The person is showing clear signs of depression, such as headache"
1469,"Slowly it started happening like this, then I felt that I should not do any harm, so I came here.",2,c
1470,"Yes, absolutely no problem from the husband's side.",0,i
1471,No problem from their side?,0,i
1472,And sometimes it happens that I finish myself in 15-20 days.,0,i
1473,"Yes, the school has studied till 5th standard.",0,i
1474,"Didn't read much, and got married too early, at 13-14 years.",0,i
1475,I had a girl in 15 years.,0,i
1476,"Didn't recognize it, Mom and Dad did.",0,i
1477,I got married in 97.,0,i
1478,"Likes, doesn't like fight fights",0,i
1479,"I should cook the best food, and its percentage should be very good.",0,i
1480,My daughter is very nice.,0,i
1481,"Very sad, then he said that me, but also my son had said that bring the dog to the house, the dog used to ask to bring it in advance, so those who were my father in law, they would have stayed with me. He had cancer, my son served him a lot, served him a lot, made roti and fed him, used to clean the potty there, meant to change diapers.",1,"The person is showing clear signs of depression, such as sadness"
1482,"Yes, he could not see anyone's sorrow, he became very sad that that girl did this to him.",1,"The person is showing clear signs of depression, such as sadness"
1483,"Were very sad, the doctor had told them also, Dr. Beniwal said that you too, take medicine for a few days to get out of this, he said that no, I am fine like this.",2,h
1484,"I cry, tell that I also miss a lot, I also cry with the help of the car, but it is not that you are drinking.",1,"The person is showing clear signs of depression, such as crying spells"
1485,My eldest son is mine.,0,i
1486,Not refusing.,0,i
1487,"It just says that I should do some work now, after that I have to get married.",0,i
1488,"Yes, it comes 7-8 thousand.",0,i
1489,"When there is a responsibility, I will do it.",0,i
1490,"No, but there is responsibility.",0,i
1491,Everyone is better than in-laws too.,0,i
1492,"And before that we have to do more work, but the worksheet that is there is sent daily to the children from home itself.",0,i
1493,Yes.,0,i
1494,"Look, my life has gone to me that I think because of my son, why am I living.",0,i
1495,"Many times it happened that he dies, but then it seems that no, daughter is a husband.",0,i
1496,"No-no, there is nothing like that, never will.",0,i
1497,"Because I want to find God, I am very much in God, I am God's very much from the beginning.",0,i
1498,"And now this is happening to me a lot, I tell everyone here.",2,c
1499,"Look, I think everyone is the same.",0,i
1500,"Who is very close to me, my friends, or my sisters.",0,i
1501,Everything I do in the morning,0,i
1502,"I used to get upset, I used to cry with him all the time, I was with him for 24 years, I miss his words, this is what happened to me, how will I live without him.",2,w/f
1503,"Didn't do mine at all, then after that I took medicine like Dr. Saheb.",2,h
1504,Then I was fine.,0,i
1505,"Yes, then it was okay to work.",0,i
1506,"No, not many are happy, but who can remain happy?",2,c
1507,"I had reduced the medicine, doctor sir had reduced the medicine, so I did.",2,h
1508,"I am telling medicine, the doctor has gone somewhere, could not be talked about, went to Jaipur, then my husband left, then I felt that what to do after eating medicine, it will be fine like this.",2,h
1509,"So in that too now there is not much time, then later it means that now it started happening that then I started crying a lot.",1,"The person is showing clear signs of depression, such as crying spells"
1510,Because of that I am always the same.,0,i
1511,Although I don't have that.,0,i
1512,"Yes, I cry too, I remember a lot, they all do the same thing in everything.",1,"The person is showing clear signs of depression, such as crying spells"
1513,But it is not that you are drinking.,0,i
1514,"Yes, she used to go before, must have come now but now she is not so much, she is happy, she enjoys herself.",0,i
1515,"There is sadness, there will be sorrow, it will remain for life.",1,"The person is showing clear signs of depression, such as sadness"
1516,"There is nothing but I do my job, so what has happened in my job all the time that something or the other, something or the other keeps coming, it happens in daily revolution, all the time circular keeps coming, children get online Two, do everything, check these taxes, take UT too, do these taxes means that if it happens like this.",0,i
1517,I really want to take the name of God.,0,i
1518,And I have great faith in God from the very beginning.,0,i
1519,"The school timings are mine, in school I have to go to thursday friday saturday, and in that friday and saturday we have class from 12 o'clock online, and before that we have to do more work, but the worksheet which is there, it is sent daily The children go from home.",0,i
1520,"Yes, and the worksheet that is sent daily.",0,i
1521,It would have been two years.,0,i
1522,was broken in the middle.,0,i
1523,"Yes yes absolutely sad, I started getting very upset, I always mean this way, she told me some things like this anywhere, I am trying to tell you, don't you listen to me, what am I trying to say, why why us Do not doubt, I want to tell this, because he used to play pubg, started playing a lot, then used to scold the husband, started smoking etc., used to mean, we did not know, used to move around a little bit, so What happened that whatever it was, it was meant that I read so much, I used to say, read, read, read, read, then yes I studied, you went to school, I studied for so many hours He did not read, did not read, he used to speak like this, then after that he used to have papers etc. Later, when it used to happen that now they will get to know, then he used to tell them again.",1,"The person is showing clear signs of depression, such as sadness"
1524,"I kill myself, never drink more than Limints, no and don't drink like that.",0,i
1525,She is currently in Noida.,0,i
1526,"No, working in another office, working on YouTube.",0,i
1527,"No, the numbers were not taken numbers, our eyes, she looked into my eyes, we were lost, in each other's eyes, she stood in front of me, I kept looking into her eyes, she looked into my eyes, that's all Later, that girl started seeing me on the walls too, started looking empty there, everywhere that girl was visible to me.",0,i
